Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_20_041.jpg;0;0;1;0;99.66999;85.58901;0.000235953;53.28206;-1.195102E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_20_089.jpg;0;0;0;0;99.66999;85.58901;0.0002359857;53.28206;-1.971368E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_20_150.jpg;0;0;0;0;99.66999;85.58901;0.000235799;53.28206;-2.764199E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_20_216.jpg;0;0;0;0;99.66999;85.58901;0.0002358318;53.28206;-3.540465E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_20_279.jpg;0;0;0;0;99.66999;85.58901;0.0002355946;53.28206;-4.181362E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_20_344.jpg;0;0;0;0;99.66999;85.58901;0.000235577;53.28206;-4.805694E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_20_411.jpg;0;0;0;0;99.66999;85.58901;0.0002353567;53.28206;-5.497235E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_20_465.jpg;0;0;0;0;99.66999;85.58901;0.0002352381;53.28206;-5.817687E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_20_512.jpg;0;0;0;0;99.66999;85.58901;0.0002349002;53.28206;-6.154729E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_20_562.jpg;0;0;0;0;99.66999;85.58901;0.000234748;53.28206;-6.373892E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_20_627.jpg;0;0;0;0;99.66999;85.58901;0.0002345959;53.28206;-6.593054E-06
